question,option1,option2,option3,option4,answer
What does RBI stand for?,Reserve Bank of India,Rural Bank of India,Regional Bank of India,Reserve Banking Institution,1
What does GDP stand for?,Gross Domestic Product,General Domestic Price,Gross Development Plan,Government Domestic Product,1
Which institution regulates monetary policy in India?,SEBI,RBI,NITI Aayog,IRDAI,2
What does ATM stand for?,Automated Teller Machine,Automatic Transfer Machine,Any Time Money,Automated Transaction Method,1
What is the full form of KYC?,Keep Your Cash,Know Your Customer,Know Your Credit,Keep Your Customer,2
Which bank is India's central bank?,SBI,Bank of Baroda,RBI,PNB,3
What does NEFT stand for?,National Electronic Funds Transfer,National Exchange Fund Transfer,New Electronic Finance Transfer,National Easy Fund Transaction,1
What does RTGS stand for?,Real Time Gross Settlement,Rapid Transfer Gross System,Real Transfer Government Service,Real Time Government Settlement,1
Which organization regulates the securities market in India?,RBI,SEBI,NABARD,SIDBI,2
What is inflation?,Fall in general price level,Rise in general price level,Rise in exports only,Fall in money supply only,2
What does IFSC stand for?,Indian Financial System Code,Indian Finance Service Code,International Financial System Code,Indian Fund Settlement Code,1
Which bank is commonly called SBI?,State Bank of India,Standard Bank of India,State Banking Institution,Scheduled Bank of India,1
What is a fixed deposit?,Deposit with a fixed maturity period,Daily cash withdrawal account,Loan account,Share trading account,1
What does EMI stand for?,Equated Monthly Instalment,Electronic Money Index,Estimated Monthly Income,Equity Market Investment,1
Which institution primarily supports agriculture and rural development finance in India?,NABARD,SEBI,RBI,IRDAI,1
