question,option1,option2,option3,option4,answer
What is the capital of India?,Mumbai,New Delhi,Kolkata,Chennai,2
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,2
Who is known as the Father of the Indian Constitution?,Mahatma Gandhi,B. R. Ambedkar,Jawaharlal Nehru,Sardar Patel,2
Which is the largest ocean in the world?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,3
What is the national animal of India?,Lion,Tiger,Elephant,Leopard,2
Which gas is most abundant in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,3
Who was the first President of India?,Dr. Rajendra Prasad,S. Radhakrishnan,Zakir Husain,V. V. Giri,1
Which river is known as the longest river in India?,Yamuna,Ganga,Godavari,Narmada,2
Where is the headquarters of the Reserve Bank of India?,New Delhi,Chennai,Mumbai,Kolkata,3
Which vitamin is mainly produced in the skin by sunlight?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,4
Who wrote the Indian national anthem?,Bankim Chandra Chattopadhyay,Rabindranath Tagore,Sarojini Naidu,Subramania Bharati,2
Which is the smallest state of India by area?,Goa,Sikkim,Tripura,Manipur,1
What is the currency of Japan?,Won,Yuan,Yen,Ringgit,3
Which organ purifies blood in the human body?,Heart,Lungs,Kidneys,Stomach,3
When is Republic Day celebrated in India?,15 August,26 January,2 October,14 November,2
